,country,date,sexual violence,rate
260,El Salvador,2010,2231,36.02458456
261,El Salvador,2011,658,10.56605301
262,Estonia,2003,215,15.90289618
263,Estonia,2004,526,39.00777857
264,Estonia,2005,402,29.86944378
265,Estonia,2006,354,26.33854102
266,Estonia,2007,244,18.16999821
267,Estonia,2008,368,27.41879603
268,Estonia,2009,309,23.0317025
271,Finland,2003,1581,30.34202428
272,Finland,2004,1765,33.7730075
273,Finland,2005,1919,36.59181648
274,Finland,2006,2728,51.80465543
275,Finland,2007,2326,43.96617213
276,Finland,2008,2906,54.66172742
277,Finland,2009,2205,41.28018368
278,Finland,2010,2417,45.05507083
279,Finland,2011,3252,60.39255159
280,France,2003,25802,42.87194226
281,France,2004,26238,43.29939402
282,France,2005,23868,39.13011017
283,France,2006,22864,37.25109288
284,France,2007,23247,37.65025849
285,France,2008,24031,38.69825144
286,France,2009,23253,37.23770622
287,France,2010,22963,36.57260872
288,France,2011,23871,37.81491
290,Georgia,2004,98,2.168330123
291,Georgia,2005,164,3.66316239
292,Georgia,2006,229,5.154378127
293,Georgia,2007,215,4.868707931
294,Georgia,2008,202,4.597159138
295,Georgia,2009,163,3.726881332
296,Georgia,2010,165,3.791147739
298,Germany,2003,54632,66.2333622
299,Germany,2004,57306,69.44132836
300,Germany,2005,55203,66.87970167
301,Germany,2006,52231,63.28258296
302,Germany,2007,56281,68.20592058
303,Germany,2008,56784,68.8497283
304,Germany,2009,49084,59.56408299
305,Germany,2010,46869,56.94726154
306,Germany,2011,47078,57.29863761
307,Greece,2003,899,8.09102848
308,Greece,2004,626,5.615729281
309,Greece,2005,633,5.660319657
310,Greece,2006,695,6.194682378
311,Greece,2007,555,4.930827596
312,Greece,2008,682,6.039777336
313,Greece,2009,924,8.157790743
314,Greece,2010,901,7.931794665
315,Greece,2011,536,4.705869545
318,Grenada,2005,151,146.9815251
319,Grenada,2006,98,95.11146481
320,Grenada,2007,153,148.0148595
321,Grenada,2008,169,162.9339684
322,Grenada,2009,214,205.5774902
323,Grenada,2010,150,143.5585288
326,Guatemala,2004,363,2.926295091
327,Guatemala,2005,314,2.469105902
328,Guatemala,2006,289,2.217124115
329,Guatemala,2007,318,2.38044585
330,Guatemala,2008,158,1.154055783
331,Guatemala,2009,401,2.857423204
338,Guinea,2007,33,0.35205186
345,Guyana,2005,239,32.02744444
346,Guyana,2006,229,30.60184065
347,Guyana,2007,138,18.39833188
348,Guyana,2008,134,17.82915413
349,Guyana,2009,105,13.94398237
350,Guyana,2010,147,19.48328215
351,Guyana,2011,297,39.28363579
360,Honduras,2011,3580,46.16562861
362,Hong Kong Special Administrative Region of China,2004,1392,20.44727834
363,Hong Kong Special Administrative Region of China,2005,1460,21.43950411
364,Hong Kong Special Administrative Region of China,2006,1524,22.30356291
365,Hong Kong Special Administrative Region of China,2007,1821,26.49582847
366,Hong Kong Special Administrative Region of China,2008,1856,26.79615059
367,Hong Kong Special Administrative Region of China,2009,1793,25.65835944
368,Hong Kong Special Administrative Region of China,2010,1836,26.03077842
369,Hong Kong Special Administrative Region of China,2011,1806,25.35737969
370,Hungary,2003,560,5.525672521
371,Hungary,2004,772,7.635707138
372,Hungary,2005,858,8.506051788
373,Hungary,2006,653,6.488297119
374,Hungary,2007,643,6.402742246
375,Hungary,2008,681,6.795128182
376,Hungary,2009,728,7.278364551
377,Hungary,2010,764,7.652515689
378,Hungary,2011,630,6.321419498
381,Iceland,2005,288,97.05367945
382,Iceland,2006,281,93.35238032
383,Iceland,2007,349,114.1563713
384,Iceland,2008,368,118.4551898
389,India,2004,62801,5.592296756
390,India,2005,62518,5.483828901
391,India,2006,65931,5.698254447
392,India,2007,70421,5.998526562
