,Country,Year,Cases,Crime Rate,Continent
139,Czech Republic,2011,2086,19.80199336,Europe
140,Czech Republic,2009,1730,16.57130186,Europe
141,Czech Republic,2006,1615,15.74258812,Europe
142,Czech Republic,2003,1898,18.60907097,Europe
143,Czech Republic,2004,1909,18.71263171,Europe
144,Czech Republic,2005,1849,18.09084717,Europe
145,Czech Republic,2010,1811,17.25919092,Europe
146,Egypt,2007,169,0.219647189,Africa
147,Egypt,2008,194,0.247691306,Africa
148,Egypt,2006,154,0.203788742,Africa
149,Egypt,2011,114,0.138120258,Africa
150,Egypt,2010,171,0.210796018,Africa
151,Egypt,2009,199,0.249635573,Africa
152,El Salvador,2009,1917,31.11799303,Americas
153,El Salvador,2008,572,9.331724535,Americas
154,El Salvador,2007,808,13.24401708,Americas
155,El Salvador,2011,658,10.56605301,Americas
156,El Salvador,2010,2231,36.02458456,Americas
157,Estonia,2007,244,18.16999821,Europe
158,Estonia,2008,368,27.41879603,Europe
159,Estonia,2005,402,29.86944378,Europe
160,Estonia,2004,526,39.00777857,Europe
161,Estonia,2009,309,23.0317025,Europe
162,Estonia,2006,354,26.33854102,Europe
163,Estonia,2003,215,15.90289618,Europe
164,Finland,2008,2906,54.66172742,Europe
165,Finland,2003,1581,30.34202428,Europe
166,Finland,2011,3252,60.39255159,Europe
167,Finland,2009,2205,41.28018368,Europe
168,Finland,2007,2326,43.96617213,Europe
169,Finland,2010,2417,45.05507083,Europe
170,Finland,2004,1765,33.7730075,Europe
171,Finland,2006,2728,51.80465543,Europe
172,Finland,2005,1919,36.59181648,Europe
173,France,2005,23868,39.13011017,Europe
174,France,2006,22864,37.25109288,Europe
175,France,2003,25802,42.87194226,Europe
176,France,2004,26238,43.29939402,Europe
177,France,2011,23871,37.81491,Europe
178,France,2007,23247,37.65025849,Europe
179,France,2008,24031,38.69825144,Europe
180,France,2010,22963,36.57260872,Europe
181,France,2009,23253,37.23770622,Europe
182,Georgia,2008,202,4.597159138,Asia
183,Georgia,2004,98,2.168330123,Asia
184,Georgia,2006,229,5.154378127,Asia
185,Georgia,2005,164,3.66316239,Asia
186,Georgia,2010,165,3.791147739,Asia
187,Georgia,2007,215,4.868707931,Asia
188,Georgia,2009,163,3.726881332,Asia
189,Germany,2008,56784,68.8497283,Europe
190,Germany,2003,54632,66.2333622,Europe
191,Germany,2006,52231,63.28258296,Europe
